,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Lavrentiya,100,RU,1575570735,86,65.58,-170.99,14.23,20.47
1,Trincomalee,100,LK,1575570946,98,8.58,81.23,73.9,2.75
2,Palu,100,ID,1575570946,99,-0.9,119.87,68.81,1.57
3,Georgetown,40,GY,1575570689,70,6.8,-58.16,87.8,11.41
4,Kavaratti,61,IN,1575570737,75,10.57,72.64,82.74,7.83
5,Puerto Ayora,20,EC,1575570676,54,-0.74,-90.35,84.2,8.05
6,Yellowknife,75,CA,1575570381,75,62.45,-114.38,-14.01,5.82
7,Caxito,75,BR,1575570947,66,-22.65,-42.51,86.0,17.22
8,Hithadhoo,54,MV,1575570694,80,-0.6,73.08,83.08,10.8
9,Pevek,0,RU,1575570686,84,69.7,170.27,-0.74,2.53
10,Punta Arenas,75,CL,1575570677,57,-53.16,-70.91,51.8,34.45
11,Iqaluit,90,CA,1575570730,78,63.75,-68.52,10.4,14.99
12,Rikitea,0,PF,1575570676,84,-23.12,-134.97,77.41,7.45
13,Deloraine,40,AU,1575570947,70,-41.53,146.66,48.2,14.99
14,Sterling,40,US,1575570658,48,39.0,-77.4,48.2,16.11
15,Ilave,100,PE,1575570948,62,-16.09,-69.64,53.26,8.39
16,Cape Town,0,ZA,1575570677,47,-33.93,18.42,77.0,10.29
17,Tuktoyaktuk,75,CA,1575570682,84,69.44,-133.03,-0.4,17.22
18,San Felipe,0,CL,1575570948,20,-32.75,-70.73,93.0,1.01
19,Mogadishu,74,SO,1575570685,78,2.04,45.34,81.16,10.83
20,Saldanha,0,PT,1575570691,78,41.42,-6.55,46.31,11.86
21,Manado,20,ID,1575570948,94,1.49,124.85,75.2,2.24
22,Cabo San Lucas,5,MX,1575570676,78,22.89,-109.91,80.01,3.36
23,Bluff,0,AU,1575570675,77,-23.58,149.07,74.98,3.53
24,Kaitangata,49,NZ,1575570691,77,-46.28,169.85,51.67,12.15
25,Port Hedland,13,AU,1575570714,94,-20.31,118.58,77.0,8.05
26,Pouembout,98,NC,1575570949,91,-21.12,164.9,66.83,1.7
27,Grand Island,1,US,1575570681,70,40.92,-98.34,53.6,6.93
28,Nome,1,US,1575570949,53,30.04,-94.42,75.2,10.29
29,Codrington,0,AU,1575570686,76,-28.95,153.24,66.0,6.93
30,Beloha,61,MG,1575570949,67,-25.17,45.06,69.08,14.07
31,Atuona,16,PF,1575570679,74,-9.8,-139.03,79.34,12.62
32,Mataura,48,NZ,1575570676,76,-46.19,168.86,53.01,4.0
33,Araouane,47,ML,1575570720,23,18.9,-3.53,70.74,0.65
34,Ushuaia,75,AR,1575570678,87,-54.81,-68.31,48.2,35.57
35,The Valley,40,AI,1575570929,83,18.22,-63.06,87.8,12.75
36,Paysandu,0,UY,1575570746,27,-32.32,-58.08,77.54,9.26
37,Vaini,5,IN,1575570679,83,15.34,74.49,67.55,8.14
38,Agbor,12,NG,1575570950,48,6.26,6.15,81.73,2.89
39,Busselton,0,AU,1575570676,24,-33.64,115.35,73.0,11.25
40,Seoul,1,KR,1575570400,37,37.57,126.98,17.6,5.37
41,Lompoc,90,US,1575570719,93,34.64,-120.46,62.6,8.05
42,Castro,40,CL,1575570680,63,-42.48,-73.76,62.6,10.29
43,Longyearbyen,75,NO,1575570691,74,78.22,15.63,30.2,44.96
44,Caravelas,74,BR,1575570720,74,-17.73,-39.27,84.31,13.09
45,East London,30,ZA,1575570680,72,-33.02,27.91,68.0,20.8
46,Bredasdorp,0,ZA,1575570684,68,-34.53,20.04,73.0,5.82
47,Tateyama,100,JP,1575570951,98,36.66,137.31,37.99,1.99
48,Bay Roberts,20,CA,1575570951,81,47.58,-53.28,48.2,31.09
49,Okha,100,RU,1575570709,91,53.59,142.95,15.62,22.01
50,Hambantota,100,LK,1575570951,85,6.12,81.12,78.22,8.99
51,Souillac,0,FR,1575570682,93,45.6,-0.6,45.0,3.91
52,Jamestown,17,AU,1575570619,83,-33.21,138.6,53.89,4.23
53,Saint George,75,GR,1575570541,81,39.45,22.34,48.2,4.7
54,Vila Franca do Campo,20,PT,1575570678,59,37.72,-25.43,62.6,6.93
55,Hermanus,0,ZA,1575570689,62,-34.42,19.24,73.0,1.01
56,Khatanga,0,RU,1575570684,86,71.98,102.47,-29.94,10.56
57,Torbay,20,CA,1575570690,81,47.66,-52.73,48.2,31.09
58,Leningradskiy,100,RU,1575570691,87,69.38,178.42,16.41,15.95
59,Port Blair,56,IN,1575570702,72,11.67,92.75,79.41,18.92
60,Altamira,40,BR,1575570521,66,-3.2,-52.21,87.8,5.82
61,Butaritari,67,KI,1575570678,72,3.07,172.79,83.91,11.01
62,Naifaru,100,MV,1575570952,81,5.44,73.37,82.04,22.93
63,Maragogi,100,BR,1575570952,69,-9.01,-35.22,80.87,9.17
64,Antalaha,0,MG,1575570711,73,-14.9,50.28,80.89,12.37
65,Mount Gambier,90,AU,1575570504,76,-37.83,140.78,53.6,8.05
66,Impfondo,96,CD,1575570952,68,1.62,18.06,79.95,0.74
67,Salalah,75,OM,1575570676,48,17.01,54.1,82.4,14.99
68,Vestmannaeyjar,72,IS,1575570952,79,63.44,-20.27,28.4,11.41
69,Bergen,75,NO,1575570952,87,60.39,5.33,46.99,25.28
70,Lubango,42,AO,1575570952,89,-14.92,13.49,61.52,2.91
71,Bodden Town,40,KY,1575570722,61,19.28,-81.25,82.4,10.29
72,Bathsheba,40,BB,1575570689,58,13.22,-59.52,87.8,20.8
73,Tarakan,95,ID,1575570953,78,3.3,117.63,80.76,2.73
74,Belyy Yar,90,RU,1575570953,84,53.6,91.39,8.6,1.36
75,Maputo,75,MZ,1575570910,88,-25.97,32.57,66.99,3.36
76,Hobart,90,AU,1575570686,57,-42.88,147.33,51.8,19.46
77,Freire,20,CL,1575570953,64,-38.95,-72.63,71.01,13.87
78,Muros,20,ES,1575570953,93,42.77,-9.06,57.0,8.05
79,Chapais,90,CA,1575570711,79,49.78,-74.86,21.2,6.93
80,Dikson,100,RU,1575570687,97,73.51,80.55,-6.68,7.78
81,Thompson,75,CA,1575570711,69,55.74,-97.86,-9.4,5.82
82,Nikolskoye,75,RU,1575570709,75,59.7,30.79,42.8,17.9
83,Taitung,100,TW,1575570953,95,22.76,121.15,47.46,4.63
84,Toyoshina,52,JP,1575570953,100,36.3,137.9,37.99,3.09
85,Sioux Lookout,90,CA,1575570935,92,50.1,-91.92,19.4,5.82
86,Barghat,26,IN,1575570954,42,22.03,79.74,57.43,9.17
87,Yumen,40,CN,1575570737,47,40.29,97.04,19.98,8.63
88,Miri,0,NG,1575570954,27,10.31,9.75,76.46,5.39
89,Paamiut,22,GL,1575570689,29,61.99,-49.67,20.95,8.52
90,Pimentel,76,BR,1575570954,66,-3.7,-45.5,87.01,5.99
91,Pinawa,99,CA,1575570954,66,50.15,-95.88,18.82,11.05
92,Necochea,20,AR,1575570954,61,-38.55,-58.74,64.99,5.01
93,Anloga,40,GH,1575570954,74,5.79,0.9,84.2,10.29
94,Gamba,22,CN,1575570954,30,28.28,88.52,19.2,1.23
95,Luderitz,67,NA,1575570703,68,-26.65,15.16,69.8,11.41
96,Gaoual,0,GN,1575570954,27,11.75,-13.2,82.83,3.02
97,Vestmanna,47,FO,1575570700,69,62.16,-7.17,39.2,6.93
98,Mar del Plata,0,AR,1575570518,25,-46.43,-67.52,73.9,28.99
99,Half Moon Bay,75,US,1575570624,100,37.46,-122.43,57.99,5.73
100,Sehithwa,96,BW,1575570955,81,-20.47,22.7,71.78,9.42
101,Katsuura,75,JP,1575570688,49,33.93,134.5,46.4,16.11
102,Liepaja,100,LV,1575570955,81,56.52,21.02,44.6,23.04
103,Taoudenni,0,ML,1575570734,20,22.68,-3.98,68.61,4.5
104,New Norfolk,90,AU,1575570686,57,-42.78,147.06,51.8,19.46
105,Manicore,39,BR,1575570955,50,-5.81,-61.3,92.5,2.98
106,Colesberg,100,ZA,1575570955,63,-30.72,25.1,64.92,14.32
107,Kahului,40,US,1575570867,69,20.89,-156.47,77.0,8.05
108,Salinas,1,US,1575570878,93,36.67,-121.66,60.01,4.7
109,San Cristobal,81,HN,1575570717,60,14.68,-86.92,76.15,5.39
110,Weligama,100,LK,1575570956,95,5.97,80.42,75.16,6.02
111,Margate,90,AU,1575570718,57,-43.03,147.26,51.8,19.46
112,Labuhan,77,ID,1575570956,87,-2.54,115.51,75.74,1.63
113,Bobrovka,100,RU,1575570956,96,52.3,45.54,32.88,12.03
114,Port Alfred,0,ZA,1575570956,84,-33.59,26.89,68.0,8.99
115,Chokurdakh,93,RU,1575570697,93,70.62,147.9,-13.43,14.41
116,Kavieng,81,PG,1575570698,74,-2.57,150.8,82.87,1.68
117,Nicoya,40,CR,1575570956,58,10.15,-85.45,87.8,8.05
118,Meulaboh,78,ID,1575570956,80,4.14,96.13,81.36,6.44
119,Santa Rosa,5,AR,1575570956,10,-36.62,-64.29,91.78,16.13
120,Qaanaaq,99,GL,1575570689,59,77.48,-69.36,-2.16,9.69
121,Dunedin,30,NZ,1575570957,71,-45.87,170.5,53.33,9.86
122,Glenwood Springs,75,US,1575570957,80,39.55,-107.33,35.6,3.36
123,Peniche,0,PT,1575570957,62,39.36,-9.38,60.8,1.12
124,Chuy,37,UY,1575570706,48,-33.69,-53.46,70.81,12.21
125,Ulladulla,18,AU,1575570957,100,-35.36,150.48,54.0,2.24
126,Udachnyy,36,RU,1575570709,64,66.42,112.4,-41.8,4.47
127,Los Llanos de Aridane,40,ES,1575570735,52,28.66,-17.92,66.2,18.34
128,Sorland,75,NO,1575570957,86,67.67,12.69,37.4,18.34
129,Zhob,0,PK,1575570957,45,31.34,69.45,49.21,1.7
130,Kapaa,40,US,1575570686,83,22.08,-159.32,75.2,14.99
131,Carnarvon,84,ZA,1575570679,35,-30.97,22.13,71.38,13.69
132,Ugoofaaru,100,MV,1575570700,81,5.67,73.0,82.08,21.83
133,Batemans Bay,31,AU,1575570957,88,-35.71,150.18,57.99,1.01
134,Virginia Beach,1,US,1575570799,32,36.85,-75.98,53.6,14.99
135,Matay,0,EG,1575570958,57,28.42,30.79,61.97,11.48
136,Dire,40,ET,1575570958,72,9.18,38.92,59.0,9.17
137,Airai,77,TL,1575570703,61,-8.93,125.41,67.05,4.0
138,Upernavik,4,GL,1575570676,73,72.79,-56.15,6.4,14.23
139,Lebu,40,ET,1575570681,72,8.96,38.73,59.0,9.17
140,Champerico,40,MX,1575570684,51,16.38,-93.6,82.4,4.7
141,Saint-Philippe,90,CA,1575570724,80,45.36,-73.48,33.8,12.75
142,Juneau,90,US,1575570958,93,58.3,-134.42,35.6,8.05
143,Port Hardy,75,CA,1575570958,68,50.7,-127.42,33.8,2.24
144,Albany,40,US,1575570548,51,42.65,-73.75,39.99,16.11
145,Arlit,0,NE,1575570697,9,18.74,7.39,79.14,3.87
146,Bara,0,NG,1575570959,24,10.41,10.6,80.11,6.82
147,Sabirabad,90,AZ,1575570959,93,40.01,48.48,39.2,5.44
148,Chaparral,9,CO,1575570937,60,3.72,-75.48,80.76,4.92
149,Cidreira,28,BR,1575570704,73,-30.17,-50.22,70.57,20.22
150,Clyde River,75,CA,1575570712,83,70.47,-68.59,-9.4,8.05
151,Hilo,90,US,1575570675,88,19.71,-155.08,69.8,3.36
152,Mujiayingzi,0,CN,1575570959,30,42.12,118.78,6.82,4.85
153,Chongwe,40,ZM,1575570959,89,-15.33,28.68,66.54,5.82
154,Misratah,0,LY,1575570960,62,32.38,15.09,67.86,9.42
155,Taicheng,98,CN,1575570960,33,22.25,112.8,61.0,3.0
156,Ponta do Sol,91,BR,1575570676,89,-20.63,-46.0,72.3,7.49
157,Maraba,40,BR,1575570960,59,-5.35,-49.1,91.4,3.36
158,Hofn,75,IS,1575570697,59,64.25,-15.21,33.8,14.99
159,Moranbah,0,AU,1575570960,86,-22.0,148.04,72.81,10.76
160,Maceio,20,BR,1575570571,51,-9.67,-35.74,86.0,14.99
161,Cherskiy,1,RU,1575570700,64,68.75,161.3,-0.78,9.84
162,Saint-Pierre,90,FR,1575570704,100,48.95,4.24,30.2,11.41
163,Umm Lajj,0,SA,1575570714,43,25.02,37.27,70.38,3.24
164,Arraial do Cabo,75,BR,1575570703,66,-22.97,-42.02,86.0,17.22
165,Fort-Shevchenko,4,KZ,1575570961,73,44.51,50.26,33.66,10.94
166,Hualmay,51,PE,1575570709,52,-11.1,-77.61,78.13,9.73
167,Panorama,82,BR,1575570961,69,-21.35,-51.86,85.53,10.04
168,Tasiilaq,75,GL,1575570683,58,65.61,-37.64,26.6,10.29
169,Port Elizabeth,90,US,1575570694,38,39.31,-74.98,45.0,17.22
170,Aden,28,YE,1575570681,57,12.79,45.03,78.13,7.23
171,Kununurra,74,AU,1575570704,69,-15.77,128.74,78.8,1.12
172,Payo,100,ID,1575570961,98,-3.75,103.64,69.26,0.96
173,Zhangye,0,CN,1575570727,38,38.94,100.46,25.12,8.61
174,Cayenne,45,GF,1575570706,74,4.94,-52.33,84.2,6.93
175,Carutapera,0,BR,1575570699,75,-1.2,-46.02,82.13,18.07
176,Esperance,1,AU,1575570692,93,-33.86,121.89,53.6,6.93
177,Wuzhou,0,CN,1575570962,43,23.48,111.3,44.67,3.15
178,Ixtapa,5,MX,1575570678,51,20.71,-105.21,82.4,3.89
179,Magistralnyy,54,RU,1575570962,91,56.17,107.45,-1.5,3.09
180,Ilulissat,5,GL,1575570691,42,69.22,-51.1,8.6,12.75
181,Baherden,100,TM,1575570962,63,38.44,57.43,47.73,4.7
182,Xuddur,74,SO,1575570962,44,4.12,43.89,78.3,3.06
183,Daru,88,PG,1575570962,93,-9.07,143.21,76.3,3.49
184,Minab,0,IR,1575570963,59,27.15,57.07,66.2,2.24
185,Sao Joao da Barra,40,BR,1575570726,70,-21.64,-41.05,84.2,18.34
186,Karpathos,20,GR,1575570963,58,35.51,27.21,57.2,24.16
187,Avarua,2,CK,1575570424,78,-21.21,-159.78,78.8,6.93
188,Santo Antonio do Monte,96,BR,1575570963,75,-20.09,-45.29,78.57,8.1
189,Victoria,75,BN,1575570678,88,5.28,115.24,78.8,9.4
190,Dingle,100,PH,1575570705,89,11.0,122.67,74.32,4.36
191,Irbeyskoye,1,RU,1575570963,88,55.64,95.45,13.23,2.66
192,Soe,100,EE,1575570964,81,57.91,26.05,42.8,17.22
193,Beyneu,37,KZ,1575570709,76,45.32,55.19,29.91,13.49
194,Hun,75,BE,1575570964,89,50.34,4.87,35.6,11.41
195,Rodrigues Alves,75,BR,1575570964,79,-7.74,-72.65,86.0,2.24
196,Kiama,50,AU,1575570714,100,-34.67,150.86,64.0,2.24
197,Coquimbo,75,CL,1575570607,72,-29.95,-71.34,77.0,11.41
198,Kargil,0,PK,1575570964,58,34.56,76.13,-5.84,2.51
199,Sicamous,90,CA,1575570964,92,50.84,-118.99,34.0,3.89
200,Avera,1,US,1575570690,25,33.19,-82.53,66.2,5.82
201,Prainha,59,BR,1575570964,38,-1.8,-53.48,96.62,5.35
202,Port Lincoln,15,AU,1575570688,84,-34.72,135.86,56.77,8.34
203,Keti Bandar,77,PK,1575570964,25,24.14,67.45,75.69,17.05
204,Pilar de la Horadada,85,ES,1575570965,93,37.87,-0.79,59.0,9.17
205,Las Vegas,1,US,1575570806,76,36.17,-115.15,57.2,1.74
206,Provideniya,100,RU,1575570676,95,64.42,-173.23,11.93,16.17
207,Barrow,16,AR,1575570677,18,-38.31,-60.23,80.82,5.14
208,Marsh Harbour,100,BS,1575570697,52,26.54,-77.06,72.19,9.91
209,Klaksvik,44,FO,1575570695,69,62.23,-6.59,39.2,6.93
210,Sebring,1,US,1575570965,32,27.5,-81.44,68.0,9.17
211,Batsfjord,75,NO,1575570965,100,70.63,29.72,33.8,3.69
212,Broome,100,GB,1575570965,75,52.47,1.45,46.99,18.34
213,Xiaoweizhai,0,CN,1575570965,85,26.23,107.51,35.65,4.0
214,Vanimo,96,PG,1575570966,77,-2.67,141.3,84.11,16.24
215,Bollnas,67,SE,1575570966,78,61.35,16.39,37.62,14.7
216,Mumford,93,GH,1575570966,87,5.26,-0.76,77.4,6.76
217,Angoche,9,MZ,1575570966,75,-16.23,39.91,80.55,8.55
218,Deputatskiy,100,RU,1575570720,99,69.3,139.9,-13.47,2.39
219,Huarmey,90,PE,1575570683,46,-10.07,-78.15,81.23,11.39
220,Bani,0,YE,1575570966,73,16.02,42.93,80.33,3.09
221,Banda Aceh,90,ID,1575570701,96,5.56,95.32,73.04,4.36
222,Omboue,93,GA,1575570966,93,-1.57,9.26,75.45,3.06
223,Sitka,0,US,1575570695,52,37.17,-99.65,55.0,1.88
224,Biak,100,ID,1575570692,80,-0.91,122.88,81.64,6.11
225,Kruisfontein,0,ZA,1575570701,70,-34.0,24.73,63.52,12.48
226,Atambua,87,ID,1575570967,84,-9.11,124.89,75.97,2.39
227,Tual,100,ID,1575570967,71,-5.67,132.75,82.92,2.89
228,Yerbogachen,27,RU,1575570967,96,61.28,108.01,-14.69,2.39
229,Kutum,0,SD,1575570692,17,14.2,24.66,66.16,5.01
230,Santa Isabel do Rio Negro,96,BR,1575570967,92,-0.41,-65.02,81.57,4.07
231,Vao,100,EE,1575570703,83,59.1,26.19,41.0,15.05
232,Atar,0,MR,1575570967,25,20.52,-13.05,70.84,7.96
233,Pisco,48,PE,1575570676,30,-13.71,-76.2,71.6,12.75
234,Rawson,0,AR,1575570968,68,-43.3,-65.11,56.21,15.55
235,College,1,US,1575570675,74,64.86,-147.8,-20.2,3.15
236,Manuk Mangkaw,100,PH,1575570968,78,4.8,119.85,81.28,3.58
237,Ribeira Grande,20,PT,1575570692,63,38.52,-28.7,66.2,2.24
238,Jashpurnagar,20,IN,1575570968,52,22.88,84.14,51.51,3.29
239,Sabang,59,PH,1575570968,96,13.8,121.11,73.99,1.05
240,Kidal,7,ML,1575570683,11,18.44,1.41,77.86,8.9
241,Norman Wells,75,CA,1575570678,67,65.28,-126.83,-27.4,4.7
242,Barranca,77,PE,1575570968,90,-10.75,-77.76,66.79,11.18
243,Vostok,100,RU,1575570730,97,46.45,135.83,-14.44,4.9
244,San Quintin,57,PH,1575570698,94,17.54,120.52,72.14,2.95
245,Vardo,75,US,1575570708,39,39.62,-77.74,45.0,18.34
246,Aklavik,75,CA,1575570680,77,68.22,-135.01,1.4,11.41
247,Faanui,89,PF,1575570726,72,-16.48,-151.75,81.73,3.94
248,Carmelo,20,UY,1575570969,33,-34.0,-58.28,78.01,11.41
249,Waxahachie,1,US,1575570878,64,32.39,-96.85,71.01,16.11
250,Faya,3,SA,1575570699,87,18.39,42.45,62.6,4.7
251,Bambanglipuro,93,ID,1575570969,87,-7.95,110.28,76.08,1.66
252,Dakar,72,SN,1575570788,69,14.69,-17.45,75.2,13.87
253,Tuatapere,74,NZ,1575570709,76,-46.13,167.69,53.01,4.0
254,Geraldton,90,CA,1575570681,85,49.72,-86.95,15.8,4.7
255,Maues,48,BR,1575570969,36,-3.38,-57.72,97.34,4.29
256,Sainte-Rose,90,CA,1575570969,80,45.61,-73.79,33.01,19.46
257,Ostrovnoy,100,RU,1575570712,94,68.05,39.51,21.2,14.52
258,La Romana,40,DO,1575570970,74,18.43,-68.97,87.8,6.93
259,Phalombe,15,MW,1575570970,90,-15.81,35.65,67.8,10.83
260,Benjamin Constant,40,BR,1575570970,62,-4.38,-70.03,89.6,4.7
261,Tsabong,100,BW,1575570970,83,-26.02,22.4,63.57,13.96
262,Sola,100,TZ,1575570714,86,-3.17,33.8,67.51,2.17
263,Vila Velha,83,BR,1575570706,58,-3.71,-38.6,86.0,14.99
264,Capaci,75,IT,1575570970,87,38.17,13.24,61.0,1.12
265,Mahebourg,40,MU,1575570693,83,-20.41,57.7,79.0,3.83
266,Constanza,20,DO,1575570970,62,18.91,-70.74,86.0,6.93
267,Oyama,75,JP,1575570971,74,36.31,139.8,52.0,3.36
268,Grand Gaube,40,MU,1575570686,83,-20.01,57.66,79.0,9.73
269,Richards Bay,98,ZA,1575570724,67,-28.77,32.06,70.18,15.03
270,Makat,67,KZ,1575570971,67,47.65,53.35,27.9,16.17
271,Havelock,1,US,1575570971,28,34.88,-76.9,57.2,12.75
272,Gornopravdinsk,96,RU,1575570971,97,60.06,69.92,8.6,5.32
273,Khani,1,GE,1575570971,74,41.96,42.96,33.8,3.36
